pulse_range,spo2_range,bpsys_kurtosis,spo2_std,spo2_mad,spo2_cov,spo2_var,bpdia_median,bpdia_mean,bpdia_kurtosis,bpmean_kurtosis,spo2_iqr,hr_range,pulse_cov,pulse_var,bpmean_median,bpmean_mean,bpdia_prctile,pulse_std,bpmean_prctile,bpmean_range,hr_kurtosis,bpsys_range,pulse_mad,pulse_kurtosis,bpdia_range,resp_range,bpsys_median,bpdia_skewness,bpsys_skewness,age,bpmean_skewness,bpsys_mean,bpmean_cov,bpmean_var,bpsys_var,bpsys_cov,bpsys_prctile,min_gcs,bpmean_std,resp_median,bpdia_std,pulse_iqr,resp_mean,pulse_prctile,bpsys_std,max_gcs,spo2_mean,resp_var,resp_cov,bpdia_var,bpdia_cov,resp_prctile,pulse_median,gender,bpsys_iqr,pulse_mean,resp_std,hr_std,resp_kurtosis,pulse_skewness,spo2_median,bpdia_mad,resp_mad,weight_min,bpmean_mad,weight_first,hr_skewness,hr_cov,hr_var,spo2_kurtosis,spo2_prctile,hr_median,resp_iqr,bpmean_iqr,hr_mad,hr_mean,hr_prctile,bpsys_mad,weight_max,mean_gcs,spo2_skewness,resp_skewness,bpdia_iqr,hr_iqr
17.9802368992,13.5942312785,13.4117005976,11.1196180232,10.9439090335,10.834669919,10.834669919,10.1954461534,9.70486153565,9.69839521608,9.1351146362,8.00216356837,7.79910434391,7.63424414201,7.63424414201,7.52055086371,6.30985286345,6.00035147726,5.33500071985,4.57772304593,3.49907197074,3.28857070464,3.15824559173,2.84156923942,2.68090284416,2.63651135384,2.22832532345,1.83873601728,1.81066286414,1.76814481053,1.74443403437,1.65032489904,1.6161099665,1.49886947549,1.49886947549,1.45404081054,1.45404081054,1.3654798321,1.25260432897,1.24072548958,0.993673442784,0.983582482198,0.976010680238,0.949648295051,0.918448348321,0.907697987006,0.905832865021,0.886980509407,0.804884525491,0.804884525491,0.760999193672,0.760999193672,0.651458050033,0.637944623847,0.617104210571,0.605834640037,0.511707367959,0.463825400962,0.344437605667,0.32542216572,0.325040304474,0.318687266124,0.269583186796,0.257717386748,0.255007331202,0.218719707447,0.213778285763,0.169526551476,0.149434758967,0.149434758967,0.147509301585,0.116604352804,0.115765164152,0.101534143136,0.0818273952507,0.0779113618559,0.0688282800457,0.0682764548237,0.0657493663997,0.0261219389824,0.0153860677694,0.00726917650441,0.0011325485972,0.000666145758475,0.000418004144057
2.23210365979e-05,0.000226881655746,0.000250059608427,0.00085419376675,0.000939118264004,0.000996170748706,0.000996170748706,0.0014078789359,0.00183781170553,0.00184429003918,0.00250749748776,0.00467214907627,0.00522721383083,0.00572703804938,0.00572703804938,0.00609990236601,0.0120068803528,0.0143030287055,0.020901331496,0.0323902277256,0.0614032286234,0.0697637268786,0.075544328481,0.0918544686061,0.101558135766,0.10443264056,0.135500643494,0.175099166024,0.178428733554,0.183611840078,0.186577984578,0.198914716369,0.203635051451,0.220845393542,0.220845393542,0.227880675397,0.227880675397,0.242590031872,0.263055646913,0.265331280094,0.31884620735,0.321315946595,0.323185693519,0.329808836934,0.337882715406,0.340725949164,0.341222505271,0.346296874966,0.369636977452,0.369636977452,0.383016008346,0.383016008346,0.419591870529,0.424456060071,0.432125419296,0.436360466195,0.474400682199,0.495841572689,0.557278883209,0.568367198271,0.568594235191,0.572397619912,0.603611511194,0.611692695273,0.613571123297,0.640017173282,0.643822003464,0.680532919518,0.699076109062,0.699076109062,0.700927013028,0.732746929039,0.733673687703,0.749996312237,0.774836087514,0.780148078447,0.793050504111,0.793862989102,0.797629331409,0.871602878417,0.901283137672,0.932055115775,0.973153571712,0.979409045456,0.983688267157
True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
